Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10657568,1,"Sunday, February 17, 2013 20:35:24 UTC",62.6433,-151.5610,2.9,93.70,45,"Central Alaska"
ci,11245970,0,"Sunday, February 17, 2013 20:32:50 UTC",33.0220,-116.3110,1.3,5.00,34,"Southern California"
ci,11245954,0,"Sunday, February 17, 2013 20:21:00 UTC",36.0032,-117.7928,1.2,2.20, 9,"Central California"
ci,11245946,0,"Sunday, February 17, 2013 20:12:39 UTC",33.4498,-117.2205,1.5,0.20,17,"Southern California"
ci,11245938,0,"Sunday, February 17, 2013 20:08:18 UTC",36.1470,-117.9328,1.4,2.00,19,"Central California"
ci,11245930,0,"Sunday, February 17, 2013 19:53:45 UTC",32.8112,-116.1260,1.2,14.00,16,"Southern California"
ci,11245922,0,"Sunday, February 17, 2013 19:31:25 UTC",36.1435,-117.9315,1.3,1.90,18,"Central California"
us,c000f91t,6,"Sunday, February 17, 2013 19:23:45 UTC",-10.7979,165.5627,5.2,10.00,198,"Santa Cruz Islands"
us,c000f91p,5,"Sunday, February 17, 2013 19:18:52 UTC",-10.8438,165.6982,5.3,10.00,119,"Santa Cruz Islands"
ci,11245898,0,"Sunday, February 17, 2013 19:17:20 UTC",33.5848,-116.7142,1.3,14.90,33,"Southern California"
ak,10657538,1,"Sunday, February 17, 2013 18:44:47 UTC",60.4221,-147.1040,2.2,14.20,10,"Southern Alaska"
us,c000f914,6,"Sunday, February 17, 2013 18:27:26 UTC",-10.8474,165.7639,4.9,35.00,44,"Santa Cruz Islands"
ci,11245874,0,"Sunday, February 17, 2013 18:13:33 UTC",34.0173,-116.9462,1.4,12.30,15,"Southern California"
ak,10657519,1,"Sunday, February 17, 2013 17:42:43 UTC",62.0490,-144.9642,1.8,2.00, 7,"Central Alaska"
us,c000f90u,6,"Sunday, February 17, 2013 17:31:50 UTC",-20.3351,-177.9520,4.8,532.00,129,"Fiji region"
